,id,transcription,file,len,OCEAN,scenario,seat,speaker,num_discourse
13,"['BP', 'L03', '003', '0001']",저도 사실 어묵 오뎅 국물 뭐 이런식으로 뭐 이런 식으로 같이 팔면 괜찮다고 생각을 했는데 일단 어묵 그런 따뜻한 탕류 같은 거를 하면 되게 좋을 것 같아서 사실은 이게 시간대가 15시 13시부터 15시까지 제일 많지만 그때쯤에도 사실 점점 쌀쌀해지고 있는 시간대라서 그 생각을 해서 탕류 같은 걸 팔면 되게 괜찮을 것 같습니다.,0,52,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,1
14,"['BP', 'L04', '004', '0011']",어묵탕이나 탕류가 또 축제 때 팔만한 탕류가,0,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,11
15,"['BP', 'L04', '004', '0012']",저는 솔직히 오뎅탕밖에 생각이 안 나요,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,12
16,"['BP', 'L04', '004', '0013']",혹시 뭐 의견 어떻게 있으신가요?,0,5,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,13
17,"['BP', 'L02', '002', '0003']",저는 탕류보다는 아까 시간대별 이제 방문자 수를 봤는데 13시부터 16시가 아무래도 따뜻한 시간이다 보니까 저는 탕후루를 생각을 했어요.,0,18,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,3
18,"['BP', 'L02', '002', '0004']",아무래도 최근에 탕후루가 유행이기도 하고 많이 먹기도 하고 이제 연령대 하루 평균 퍼센트를 봤을 때 10대부터 30 20대까지 인구가 제일 많더라고요 퍼센트가 그래서 20대와 10대를 겨냥해서 탕후루를 선택을 했습니다.,0,29,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,4
19,"['BP', 'L04', '004', '0014']",탕후루,0,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,14
20,"['BP', 'L03', '003', '0002']",민규 님 같은 경우는,0,4,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,2
21,"['BP', 'L01', '001', '0004']",아 네 저 같은 경우는 이게 근데 음식에 한정되어 있는 건 아니었던 거죠?,0,13,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,4
22,"['BP', 'L04', '004', '0015']",아마 제한이 없었던 걸로,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,15
23,"['BP', 'L01', '001', '0005']",부스를 설치하는 개념이라면은 사실 개인적인 생각에는 이 작은 공간에 수많은 음식점이나 이유가 충분히 들어가 있다고 생각이 들어서 이런 상황에서 뭔가 이벤트 부스를 넣어주면 좀 돋보이지 않을까라는 생각을 했습니다.,0,28,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,5
24,"['BP', 'L01', '001', '0006']",근데 어떤 이벤트를 할지는 제가 트렌드에 민감한 편이 아니어가지고 혹시 아이디어가 있으시면은,0,12,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,6
25,"['BP', 'L04', '004', '0016']",근데 이런 축제 같은 거 이벤트면 약간 그런 거 하지 않나요?,0,11,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,16
26,"['BP', 'L04', '004', '0017']",다트 던져서 풍선 터뜨리는 거나 아니면 총이나 이런 간단하게 설치해서 할 수 있는 아무래도 막 좀 젊은 연령층도 많고 하다 보니까 인형 같은 거 경품으로 해가지고 하면 참여 많이 하고 아니면 이런 축제나 그런 데 가면 좀 뽑기 같은 거 해가지고 경품 같은 거 주는 것도 본 적이 있는 것 같거든요,0,51,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,17
27,"['BP', 'L01', '001', '0007']",음,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,7
28,"['BP', 'L04', '004', '0018']",몇 번 뽑으면 경품을 준다 참여만 해도 뭘 준다 약간 그런 것도 하는 것 같아서 그런 것도 괜찮은,0,18,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,18
29,"['BP', 'L04', '004', '0019']",그러면 이제 판매를 음식으로 할 것이냐 아니면 어떻게 생각하시나요? 이런 이벤트 부스,0,12,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,19
30,"['BP', 'L03', '003', '0003']",진짜 이벤트 부스를 연다고 하면 진짜 틈새 시장이라고 생각을 하거든요,0,10,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,3
31,"['BP', 'L03', '003', '0004']",사실 다른 데는 대부분 다 음식 관련 부스다 보니까 저는 부스를 가는 것도 괜찮다고 생각을 합니다.,0,16,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,4
32,"['BP', 'L04', '004', '0020']",이벤트 부스 말씀하시는,0,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,20
33,"['BP', 'L03', '003', '0005']",네 이벤트 부스,0,3,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,5
34,"['BP', 'L01', '001', '0008']",명확한 아이디어가 나오지 않은 상황이라 애매하긴 하네요,0,7,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,8
35,"['BP', 'L04', '004', '0021']",그래서 아마 얘기를 좀 더 해봐야 될 것 같긴 한데,0,10,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,21
36,"['BP', 'L04', '004', '0022']",그럼 일단 판매보다는 위치가 더 편하신가요?,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,22
37,"['BP', 'L02', '002', '0005']",네,0,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,5
38,"['BP', 'L04', '004', '0023']",근데 이 위치도,0,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,23
39,"['BP', 'L01', '001', '0009']",사실 네 무엇인지에 따라서 그냥 정해질 것 같아서,0,8,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,9
40,"['BP', 'L04', '004', '0024']",뭘 할 건지에 따라서 좀 달라서,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,24
41,"['BP', 'L04', '004', '0025']",저는 제 생각에는 좀 사람이 많이 몰리는 데다가 하는 게 나을 것 같긴 하거든요.,0,14,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,25
42,"['BP', 'L04', '004', '0026']",아무래도 사람이 많이 몰린다는 게 이제 그쪽으로 많이 지나간다는 거니까,0,10,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,26
43,"['BP', 'L04', '004', '0027']",저는 그래서 북쪽을 생각하고 있었는데 혹시 뭐 어디 생각하시는 데들이 있으신가요?,0,11,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,27
44,"['BP', 'L03', '003', '0006']",저도 오히려 경쟁업체가 많지만 그만큼 사람도 몰리는 곳이기 때문에 북쪽 출입구가 괜찮다고 생각을 했습니다,0,14,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,6
45,"['BP', 'L01', '001', '0010']",저는 음식점이라거나 음식을 팔 거라면 사실 피하는 게 맞다고 생각을 하고,0,11,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,10
46,"['BP', 'L04', '004', '0028']",아무래도 겹치는 부분이 많으니까,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,28
47,"['BP', 'L01', '001', '0011']",네,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,11
48,"['BP', 'L02', '002', '0006']",저는 항후루를 기준으로 생각을 해가지고 이제 동쪽에 보시면 휴게 및 상담 공간이 있고 진학 상담 부스가 있어서 이제 고등학생들도 많이 찾아본다고 써 있더라고요,0,23,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,6
49,"['BP', 'L02', '002', '0007']",그래서 이 부분을 봤더니 간식 탕후루랑 비슷한 간식들을 많이 팔고 있고 그래서 이 위치가 적합하다고 생각이 들어서 탕후후를 팔게 된다면 동쪽에 팔아야 겠다 이렇게 생각을 했습니다,0,26,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,7
50,"['BP', 'L01', '001', '0012']",좀 목적에 신경을 써봐야 되나요?,0,5,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,12
51,"['BP', 'L01', '001', '0013']",포커스를 돈을 많이 버는 거니까,0,5,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,13
52,"['BP', 'L04', '004', '0029']",이게 얘기를 하다 보면,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,29
53,"['BP', 'L01', '001', '0014']",수익성이 좋은 거는 뭔가 갖춰져 있어,0,6,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,14
54,"['BP', 'L04', '004', '0030']",아무래도 수익성 같은 것도 생각을 해보면,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,30
55,"['BP', 'L01', '001', '0015']",이제 탕후루 같은 게 사실 진짜 원가가 얼마 안 되는데 최근에 많이 떠가지고 사람들이 먹고 사기도 편한 음식이라 갑자기 생각이 드네요,0,21,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,15
56,"['BP', 'L04', '004', '0031']",탕후루 탕후루,0,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,31
57,"['BP', 'L04', '004', '0032']",다들 탕후루를 어떻게 생각하나요?,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,32
58,"['BP', 'L04', '004', '0033']",저는 탕후루를 한 번도 안 먹어봤거든요.,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,33
59,"['BP', 'L01', '001', '0016']",그런 거 그런 거 아니에요? 저도 안 먹어보긴 했는데,0,9,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,16
60,"['BP', 'L04', '004', '0034']",이렇게 호는 아니어서 근데 뭐 요즘에 많이 떠가지고 수익성이나 사람들이 많이 찾는 그런 부분이라면 하는 것도 나쁘지 않을 것 같긴 해요.,0,21,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,34
61,"['BP', 'L03', '003', '0007']",맞아요. 저도 탕후루를 좋아하지 않는데 제 친구들은 주변 친구들은 엄청 좋아하더라고요,0,11,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,7
62,"['BP', 'L01', '001', '0017']",으음,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,17
63,"['BP', 'L03', '003', '0008']",좋아하는 친구들 그러면 한창 반짝하는 거일 수도 있지만 지금 타이밍 맞춰서,0,11,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,8
64,"['BP', 'L04', '004', '0035']",축제니까 또 장기적으로 갈 것도 아니고,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,35
65,"['BP', 'L01', '001', '0018']",네 오히려 평소에 안 먹는 사람들도 저도 이런 거 군것질 안 좋아해도 이거 갈 때는 뭔가 하고 싶은 마음이 든단 말이죠,0,21,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,18
66,"['BP', 'L04', '004', '0036']",근데 탕후루 같은 거 하면 만약에 지역 특산물이 과일 종류에 관련된 곳이라면 뭐 그런 것 지역 특산물을 살린 탕후루 이런 걸로 해도 되긴 하겠네요,0,24,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,36
67,"['BP', 'L04', '004', '0037']",괜찮은 것 같네요. 그것도 그렇게 생각하면 특히 탕후루 탕후루 저는 괜찮은 것 같습니다.,0,13,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,37
68,"['BP', 'L01', '001', '0019']",그러네요,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,19
69,"['BP', 'L04', '004', '0038']",탕후루?,0,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,38
70,"['BP', 'L01', '001', '0020']",괜찮은데요?,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,20
71,"['BP', 'L04', '004', '0039']",괜찮은 아이디어를 주신,0,3,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,39
72,"['BP', 'L01', '001', '0021']",아니면은 몸이 좋으셔서 생각났는데 헬스 유튜버 이런 거 보면은 길거리에서 막 갑자기 리프팅하고 막 이런 그런 것도 있거든요,0,18,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,21
73,"['BP', 'L04', '004', '0040']",아아 맞네,0,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,40
74,"['BP', 'L01', '001', '0022']",그런 것도 해서,0,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,22
75,"['BP', 'L04', '004', '0041']",턱걸이 몇 개 하면,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,41
76,"['BP', 'L01', '001', '0023']",네 얼마 준다 그런 것도 있고,0,6,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,23
77,"['BP', 'L04', '004', '0042']",그런 건 너무 특정 그거에 있지 않을까,0,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,42
78,"['BP', 'L01', '001', '0024']",너무 이제,0,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,24
79,"['BP', 'L04', '004', '0043']",아 근데 또 사람들이 근데 그런 건 수익성이 별로 없을 수 있겠구나 나가는 돈이 더 있을 수도 있겠네요,0,18,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,43
80,"['BP', 'L04', '004', '0044']",참가비를 받는다고 해도 분명 참여하는 사람들은 운동에 진짜 자신감이 있거나 그러신 분들이 하기 때문에 재미는 있을 것 같아요.,0,18,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,44
81,"['BP', 'L01', '001', '0025']",아아,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,25
82,"['BP', 'L01', '001', '0026']",그러네요 수익성 측면에서는,0,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,26
83,"['BP', 'L04', '004', '0045']",뭔가 그런 거 하면 수익성 측면에서 떨어지는,0,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,45
84,"['BP', 'L04', '004', '0046']",저희가 목적을 그럼 수익성으로 둘까요? 재미에 둬야 되나? 근데 또 재미에 두면 이벤트 부스도 나쁘지 않아요.,0,16,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,46
85,"['BP', 'L02', '002', '0008']",둘 다 잡기에는 조금 힘들 것 같긴 한데,0,8,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,8
86,"['BP', 'L02', '002', '0009']",어떡할까요?,0,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,9
87,"['BP', 'L02', '002', '0010']",수익성으로 초점을 둬야 될까요?,0,4,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,10
88,"['BP', 'L01', '001', '0027']",근데 돈 벌려고 하는 게 아닌데,0,6,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,27
89,"['BP', 'L01', '001', '0028']",그러니까 사실 그런 것들도 사실 유튜버들이 채널 홍보하고 수익으로 연결시키려고 하는 거다보니까 가능한 것 같고,0,15,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,28
90,"['BP', 'L04', '004', '0047']",그럼 이제 수익성으로 본다고 치면 탕후루 나주 같은 데 배 이런 거 하면 배 탕후루 이런 거 해도 되겠네,0,19,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,47
91,"['BP', 'L04', '004', '0048']",탕후루요,0,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,48
92,"['BP', 'L03', '003', '0009']",네 좋습니다,0,2,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,9
93,"['BP', 'L01', '001', '0029']",그쵸,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,29
94,"['BP', 'L04', '004', '0049']",그러면 일단 음식으로 탕후루?,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,49
95,"['BP', 'L02', '002', '0011']",보니까 여기 별에 설치 가능한 장소가 별로 나와져 있네,0,9,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,11
96,"['BP', 'L04', '004', '0050']",네 맞습니다,0,2,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,50
97,"['BP', 'L04', '004', '0051']",동서남북 해가지고 이 위치에다가 지정을 지금 하는 것 같은데,0,9,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,51
98,"['BP', 'L01', '001', '0030']",으음,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,30
99,"['BP', 'L04', '004', '0052']",아아,0,1,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,52
100,"['BP', 'L01', '001', '0031']",아까 동쪽 얘기하신 거죠,0,4,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,31
101,"['BP', 'L02', '002', '0012']",네 동쪽 지역 특산물 판매 부스 앞에 생각을 했어요.,0,9,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,12
102,"['BP', 'L04', '004', '0053']",사실상 탕후루는 들고 다니면서 먹는 거라 뭐 테이블이 있거나 그런 건 상관이 없을 것 같긴 해요.,0,16,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,53
103,"['BP', 'L01', '001', '0032']",상관없죠,0,1,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,32
104,"['BP', 'L01', '001', '0033']",아까 특산물 얘기하셔가지고 그거랑 연계하기도 쉬워 보이고,0,7,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,33
105,"['BP', 'L01', '001', '0034']",동쪽도 괜찮아 보이는데 다른 데 괜찮은 데 있을까요?,0,8,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,34
106,"['BP', 'L02', '002', '0013']",저는 북쪽도 사람이 많이 이렇게 들어가다 보면 탕으로 판다 이러면서 들어가면서 이제 사서 돌아다니면서 먹을 수도 있지 않을까,0,18,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,13
107,"['BP', 'L01', '001', '0035']",으음 아 이게 출입구가 지금 위아래밖에 없는 거죠?,0,8,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,35
108,"['BP', 'L02', '002', '0014']",네,0,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,14
109,"['BP', 'L04', '004', '0054']",지금 보니까 그런 것 같아요. 두 번째 있고 첫 번째 있고 하는 거 보니까,0,14,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,54
110,"['BP', 'L04', '004', '0055']",근데 아무래도 남이랑 서쪽은 조금 그게 있지 않을까,0,8,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,55
111,"['BP', 'L03', '003', '0010']",으음,0,1,"[0.5833333333333334, 0.625, 0.35416666666666663, 0.5833333333333334, 0.625]",BP,L03,3,10
112,"['BP', 'L04', '004', '0056']",근데 또 어린이 놀이터랑 상담부스 학생들 쪽이면 또 탕후루도 잘 팔릴 것 같아서 근데 이게 제 생각에는 남쪽은 햄버거랑 핫도그,0,20,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,56
113,"['BP', 'L01', '001', '0036']",으음 좀 그쵸,0,3,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,36
114,"['BP', 'L04', '004', '0057']",이런 먹거리다 보니까 간식이 바로 생각이 나지 않을 것 같아서 제 생각엔 그렇습니다,0,13,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,57
